Entry	Entry Name	Gene Names	Organism
O08644	EPHB6_MOUSE	Ephb6 Cekl	Mus musculus (Mouse)
O08747	UNC5C_MOUSE	Unc5c Rcm Unc5h3	Mus musculus (Mouse)
O09126	SEM4D_MOUSE	Sema4d Semacl2 Semaj	Mus musculus (Mouse)
O09127	EPHA8_MOUSE	Epha8 Eek	Mus musculus (Mouse)
O35082	KLOT_MOUSE	Kl	Mus musculus (Mouse)
O35136	NCAM2_MOUSE	Ncam2 Ocam Rncam	Mus musculus (Mouse)
O35181	NRG3_MOUSE	Nrg3	Mus musculus (Mouse)
O35188	X3CL1_MOUSE	Cx3cl1 Cx3c Fkn Scyd1	Mus musculus (Mouse)
O35227	ADAM7_MOUSE	Adam7	Mus musculus (Mouse)
O35305	TNR11_MOUSE	Tnfrsf11a Rank	Mus musculus (Mouse)
O35375	NRP2_MOUSE	Nrp2	Mus musculus (Mouse)
O35393	EFNB3_MOUSE	Efnb3	Mus musculus (Mouse)
O35464	SEM6A_MOUSE	Sema6a Semaq	Mus musculus (Mouse)
O35516	NOTC2_MOUSE	Notch2	Mus musculus (Mouse)
O35598	ADA10_MOUSE	Adam10 Kuz Madm	Mus musculus (Mouse)
O35607	BMPR2_MOUSE	Bmpr2	Mus musculus (Mouse)
O35664	INAR2_MOUSE	Ifnar2	Mus musculus (Mouse)
O35674	ADA19_MOUSE	Adam19 Mltnb	Mus musculus (Mouse)
O35714	TNR18_MOUSE	Tnfrsf18 Gitr	Mus musculus (Mouse)
O35902	DSG3_MOUSE	Dsg3	Mus musculus (Mouse)
O35930	GP1BA_MOUSE	Gp1ba	Mus musculus (Mouse)
O35988	SDC4_MOUSE	Sdc4	Mus musculus (Mouse)
O54732	MMP15_MOUSE	Mmp15	Mus musculus (Mouse)
O54885	TYOBP_MOUSE	Tyrobp Dap12 Karap	Mus musculus (Mouse)
O54890	ITB3_MOUSE	Itgb3	Mus musculus (Mouse)
O54901	OX2G_MOUSE	Cd200 Mox2	Mus musculus (Mouse)
O54951	SEM6B_MOUSE	Sema6b Seman	Mus musculus (Mouse)
O54965	RNF13_MOUSE	Rnf13 Rzf	Mus musculus (Mouse)
O54991	CNTP1_MOUSE	Cntnap1 Nrxn4	Mus musculus (Mouse)
O55111	DSG2_MOUSE	Dsg2	Mus musculus (Mouse)
O55134	PCD12_MOUSE	Pcdh12	Mus musculus (Mouse)
O70255	MPZL2_MOUSE	Mpzl2 Eva Eva1	Mus musculus (Mouse)
O70309	ITB5_MOUSE	Itgb5	Mus musculus (Mouse)
O70394	I27RA_MOUSE	Il27ra Tccr Wsx1	Mus musculus (Mouse)
O70458	OSMR_MOUSE	Osmr Osmrb	Mus musculus (Mouse)
O88174	MCP_MOUSE	Cd46 Mcp	Mus musculus (Mouse)
O88307	SORL_MOUSE	Sorl1	Mus musculus (Mouse)
O88393	TGBR3_MOUSE	Tgfbr3	Mus musculus (Mouse)
O88516	DLL3_MOUSE	Dll3	Mus musculus (Mouse)
O88572	LRP6_MOUSE	Lrp6	Mus musculus (Mouse)
O88689	PCDA4_MOUSE	Pcdha4 Cnr1	Mus musculus (Mouse)
O88786	I13R2_MOUSE	Il13ra2	Mus musculus (Mouse)
O88792	JAM1_MOUSE	F11r Jam1 Jcam Jcam1	Mus musculus (Mouse)
O88824	JTB_MOUSE	Jtb Gm622	Mus musculus (Mouse)
O88839	ADA15_MOUSE	Adam15 Mdc15	Mus musculus (Mouse)
O89026	ROBO1_MOUSE	Robo1 Dutt1	Mus musculus (Mouse)
O89103	C1QR1_MOUSE	Cd93 Aa4 C1qr1 C1qrp Ly68	Mus musculus (Mouse)
P01132	EGF_MOUSE	Egf	Mus musculus (Mouse)
P01590	IL2RA_MOUSE	Il2ra Il2r	Mus musculus (Mouse)
P01731	CD8A_MOUSE	Cd8a Lyt-2 Lyt2	Mus musculus (Mouse)
P01895	HA1Y_MOUSE	H2-D1	Mus musculus (Mouse)
P01897	HA1L_MOUSE	H2-L	Mus musculus (Mouse)
P01898	HA10_MOUSE	H2-Q10	Mus musculus (Mouse)
P01899	HA11_MOUSE	H2-D1	Mus musculus (Mouse)
P01900	HA12_MOUSE	H2-D1	Mus musculus (Mouse)
P01901	HA1B_MOUSE	H2-K1 H2-K	Mus musculus (Mouse)
P01902	HA1D_MOUSE	H2-K1 H2-K	Mus musculus (Mouse)
P01910	HA2K_MOUSE	H2-Aa	Mus musculus (Mouse)
P01921	HB2D_MOUSE	H2-Ab1	Mus musculus (Mouse)
P03991	HA1W_MOUSE	H2-K1 H2-K	Mus musculus (Mouse)
P04223	HA1K_MOUSE	H2-K1 H2-K	Mus musculus (Mouse)
P04227	HA2Q_MOUSE	H2-Aa	Mus musculus (Mouse)
P04228	HA2D_MOUSE	H2-Aa	Mus musculus (Mouse)
P04235	CD3D_MOUSE	Cd3d T3d	Mus musculus (Mouse)
P05532	KIT_MOUSE	Kit Sl	Mus musculus (Mouse)
P05555	ITAM_MOUSE	Itgam	Mus musculus (Mouse)
P05622	PGFRB_MOUSE	Pdgfrb Pdgfr Pdgfr1	Mus musculus (Mouse)
P06332	CD4_MOUSE	Cd4	Mus musculus (Mouse)
P06339	HA15_MOUSE	H2-T23	Mus musculus (Mouse)
P06342	HB2Q_MOUSE	H2-Ab1	Mus musculus (Mouse)
P06343	HB2K_MOUSE	H2-Ab1	Mus musculus (Mouse)
P06345	HB2S_MOUSE	H2-Ab1	Mus musculus (Mouse)
P06346	HB2F_MOUSE	H2-Ab1	Mus musculus (Mouse)
P06800	PTPRC_MOUSE	Ptprc Ly-5	Mus musculus (Mouse)
P07141	CSF1_MOUSE	Csf1 Csfm	Mus musculus (Mouse)
P07147	TYRP1_MOUSE	Tyrp1 Tyrp-1	Mus musculus (Mouse)
P08101	FCGR2_MOUSE	Fcgr2 Fcgr2b Ly-17	Mus musculus (Mouse)
P08508	FCGR3_MOUSE	Fcgr3	Mus musculus (Mouse)
P08920	CD2_MOUSE	Cd2 Ly-37	Mus musculus (Mouse)
P08923	LTK_MOUSE	Ltk	Mus musculus (Mouse)
P09055	ITB1_MOUSE	Itgb1	Mus musculus (Mouse)
P09470	ACE_MOUSE	Ace Dcp1	Mus musculus (Mouse)
P09581	CSF1R_MOUSE	Csf1r Csfmr Fms	Mus musculus (Mouse)
P09803	CADH1_MOUSE	Cdh1	Mus musculus (Mouse)
P0C5E4	PTPRQ_MOUSE	Ptprq	Mus musculus (Mouse)
P0C673	IGS11_MOUSE	Igsf11	Mus musculus (Mouse)
P0DI97	NRX1B_MOUSE	Nrxn1	Mus musculus (Mouse)
P0DJF3	TMM95_MOUSE	Tmem95	Mus musculus (Mouse)
P0DP43	CTSRE_MOUSE	Catspere Catspere1 Gm7068	Mus musculus (Mouse)
P10287	CADH3_MOUSE	Cdh3 Cdhp	Mus musculus (Mouse)
P10300	CD8B_MOUSE	Cd8b Cd8b1 Ly-3 Lyt-3 Lyt3	Mus musculus (Mouse)
P10404	ENV1_MOUSE		Mus musculus (Mouse)
P10761	ZP3_MOUSE	Zp3 Zp-3 Zpc	Mus musculus (Mouse)
P11344	TYRO_MOUSE	Tyr	Mus musculus (Mouse)
P11438	LAMP1_MOUSE	Lamp1 Lamp-1	Mus musculus (Mouse)
P11609	CD1D1_MOUSE	Cd1d1 Cd1.1	Mus musculus (Mouse)
P11610	CD1D2_MOUSE	Cd1d2 Cd1.2	Mus musculus (Mouse)
P11627	L1CAM_MOUSE	L1cam Caml1	Mus musculus (Mouse)
P11688	ITA5_MOUSE	Itga5	Mus musculus (Mouse)
P11835	ITB2_MOUSE	Itgb2	Mus musculus (Mouse)
P11911	CD79A_MOUSE	Cd79a Iga Mb-1	Mus musculus (Mouse)
P11942	CD3G_MOUSE	Cd3g	Mus musculus (Mouse)
P12023	A4_MOUSE	App A4 AD1	Mus musculus (Mouse)
P13379	CD5_MOUSE	Cd5 Ly-1	Mus musculus (Mouse)
P13504	IL1R1_MOUSE	Il1r1 Il-1r1 Il1ra	Mus musculus (Mouse)
P13595	NCAM1_MOUSE	Ncam1 Ncam	Mus musculus (Mouse)
P13597	ICAM1_MOUSE	Icam1 Icam-1	Mus musculus (Mouse)
P14426	HA13_MOUSE	H2-D1	Mus musculus (Mouse)
P14427	HA14_MOUSE	H2-D1	Mus musculus (Mouse)
P14428	HA1Q_MOUSE	H2-K1 H2-K	Mus musculus (Mouse)
P14429	HA17_MOUSE	H2-Q7	Mus musculus (Mouse)
P14431	HA19_MOUSE	H2-Q9	Mus musculus (Mouse)
P14432	HA1T_MOUSE	H2-T3	Mus musculus (Mouse)
P14434	HA2B_MOUSE	H2-Aa	Mus musculus (Mouse)
P14435	HA2F_MOUSE	H2-Aa	Mus musculus (Mouse)
P14436	HA2R_MOUSE	H2-Aa	Mus musculus (Mouse)
P14437	HA2S_MOUSE	H2-Aa	Mus musculus (Mouse)
P14438	HA2U_MOUSE	H2-Aa	Mus musculus (Mouse)
P14483	HB2A_MOUSE	H2-Ab1 H2-iabeta	Mus musculus (Mouse)
P14719	ILRL1_MOUSE	Il1rl1 Ly84 St2 Ste2	Mus musculus (Mouse)
P14753	EPOR_MOUSE	Epor	Mus musculus (Mouse)
P15116	CADH2_MOUSE	Cdh2	Mus musculus (Mouse)
P15208	INSR_MOUSE	Insr	Mus musculus (Mouse)
P15209	NTRK2_MOUSE	Ntrk2 Trkb	Mus musculus (Mouse)
P15261	INGR1_MOUSE	Ifngr1 Ifngr	Mus musculus (Mouse)
P15306	TRBM_MOUSE	Thbd	Mus musculus (Mouse)
P15379	CD44_MOUSE	Cd44 Ly-24	Mus musculus (Mouse)
P15530	CD79B_MOUSE	Cd79b Igb	Mus musculus (Mouse)
P15702	LEUK_MOUSE	Spn	Mus musculus (Mouse)
P16056	MET_MOUSE	Met	Mus musculus (Mouse)
P16092	FGFR1_MOUSE	Fgfr1 Flg	Mus musculus (Mouse)
P16297	IL2RB_MOUSE	Il2rb	Mus musculus (Mouse)
P16382	IL4RA_MOUSE	Il4r Il4ra	Mus musculus (Mouse)
P16872	IL7RA_MOUSE	Il7r	Mus musculus (Mouse)
P16882	GHR_MOUSE	Ghr	Mus musculus (Mouse)
P17047	LAMP2_MOUSE	Lamp2 Lamp-2	Mus musculus (Mouse)
P18052	PTPRA_MOUSE	Ptpra Lrp Ptpa	Mus musculus (Mouse)
P18293	ANPRA_MOUSE	Npr1 Npra	Mus musculus (Mouse)
P18337	LYAM1_MOUSE	Sell Lnhr Ly-22 Ly22	Mus musculus (Mouse)
P18572	BASI_MOUSE	Bsg	Mus musculus (Mouse)
P18828	SDC1_MOUSE	Sdc1 Synd-1 Synd1	Mus musculus (Mouse)
P19070	CR2_MOUSE	Cr2	Mus musculus (Mouse)
P20239	ZP2_MOUSE	Zp2 Zp-2 Zpa	Mus musculus (Mouse)
P20334	TNR9_MOUSE	Tnfrsf9 Cd137 Ila Ly63	Mus musculus (Mouse)
P20489	FCERA_MOUSE	Fcer1a Fce1a	Mus musculus (Mouse)
P20491	FCERG_MOUSE	Fcer1g Fce1g	Mus musculus (Mouse)
P20826	SCF_MOUSE	Kitlg Kitl Mgf Sl Slf	Mus musculus (Mouse)
P20917	MAG_MOUSE	Mag	Mus musculus (Mouse)
P21803	FGFR2_MOUSE	Fgfr2 Bek Ect1	Mus musculus (Mouse)
P21995	EMB_MOUSE	Emb Gp70	Mus musculus (Mouse)
P22272	IL6RA_MOUSE	Il6ra Il6r	Mus musculus (Mouse)
P22646	CD3E_MOUSE	Cd3e	Mus musculus (Mouse)
P23150	HA2J_MOUSE		Mus musculus (Mouse)
P23188	FURIN_MOUSE	Furin Fur Pcsk3	Mus musculus (Mouse)
P23299	KCNE1_MOUSE	Kcne1	Mus musculus (Mouse)
P24063	ITAL_MOUSE	Itgal Lfa-1 Ly-15	Mus musculus (Mouse)
P24161	CD3Z_MOUSE	Cd247 Cd3z Tcrz	Mus musculus (Mouse)
P24668	MPRD_MOUSE	M6pr 46mpr	Mus musculus (Mouse)
P25118	TNR1A_MOUSE	Tnfrsf1a Tnfr-1 Tnfr1	Mus musculus (Mouse)
P25119	TNR1B_MOUSE	Tnfrsf1b Tnfr-2 Tnfr2	Mus musculus (Mouse)
P25446	TNR6_MOUSE	Fas Apt1 Tnfrsf6	Mus musculus (Mouse)
P25918	CD19_MOUSE	Cd19	Mus musculus (Mouse)
P26011	ITB7_MOUSE	Itgb7	Mus musculus (Mouse)
P26151	FCGR1_MOUSE	Fcgr1 Fcg1	Mus musculus (Mouse)
P26618	PGFRA_MOUSE	Pdgfra	Mus musculus (Mouse)
P26952	IL3RA_MOUSE	Il3ra Sut-1	Mus musculus (Mouse)
P26954	IL3B2_MOUSE	Csf2rb2 Ai2ca Il3r Il3rb2	Mus musculus (Mouse)
P26955	IL3RB_MOUSE	Csf2rb Aic2b Csf2rb1 Il3rb1	Mus musculus (Mouse)
P27038	AVR2A_MOUSE	Acvr2a Acvr2	Mus musculus (Mouse)
P27040	AVR2B_MOUSE	Acvr2b	Mus musculus (Mouse)
P27512	TNR5_MOUSE	Cd40 Tnfrsf5	Mus musculus (Mouse)
P27573	MYP0_MOUSE	Mpz P0	Mus musculus (Mouse)
P27931	IL1R2_MOUSE	Il1r2 Il-1r2 Il1rb	Mus musculus (Mouse)
P28078	DMA_MOUSE	H2-DMa H2-Ma Ma	Mus musculus (Mouse)
P28825	MEP1A_MOUSE	Mep1a	Mus musculus (Mouse)
P28828	PTPRM_MOUSE	Ptprm Kiaa4044	Mus musculus (Mouse)
P29319	EPHA3_MOUSE	Epha3 Etk1 Mek4 Tyro4	Mus musculus (Mouse)
P29533	VCAM1_MOUSE	Vcam1 Vcam-1	Mus musculus (Mouse)
P29812	TYRP2_MOUSE	Dct Tyrp-2 Tyrp2	Mus musculus (Mouse)
P31041	CD28_MOUSE	Cd28	Mus musculus (Mouse)
P31695	NOTC4_MOUSE	Notch4 Int-3 Int3	Mus musculus (Mouse)
P31809	CEAM1_MOUSE	Ceacam1 Bgp Bgp1	Mus musculus (Mouse)
P31996	CD68_MOUSE	Cd68	Mus musculus (Mouse)
P32507	NECT2_MOUSE	Nectin2 Mph Pvr Pvrl2 Pvs	Mus musculus (Mouse)
P33896	INAR1_MOUSE	Ifnar1 Ifar Ifnar	Mus musculus (Mouse)
P34902	IL2RG_MOUSE	Il2rg	Mus musculus (Mouse)
P35329	CD22_MOUSE	Cd22 Lyb-8 Siglec2	Mus musculus (Mouse)
P35330	ICAM2_MOUSE	Icam2 Icam-2	Mus musculus (Mouse)
P35419	PERT_MOUSE	Tpo	Mus musculus (Mouse)
P35546	RET_MOUSE	Ret	Mus musculus (Mouse)
P35564	CALX_MOUSE	Canx	Mus musculus (Mouse)
P35737	DMB_MOUSE	H2-DMb1 H-2Mb1 Mb	Mus musculus (Mouse)
P35822	PTPRK_MOUSE	Ptprk Ptpk	Mus musculus (Mouse)
P35917	VGFR3_MOUSE	Flt4 Flt-4 Vegfr3	Mus musculus (Mouse)
P35918	VGFR2_MOUSE	Kdr Flk-1 Flk1	Mus musculus (Mouse)
P35951	LDLR_MOUSE	Ldlr	Mus musculus (Mouse)
P35969	VGFR1_MOUSE	Flt1 Emrk2 Flt Vegfr1	Mus musculus (Mouse)
P36895	BMR1A_MOUSE	Bmpr1a Acvrlk3 Bmpr	Mus musculus (Mouse)
P36898	BMR1B_MOUSE	Bmpr1b Acvrlk6	Mus musculus (Mouse)
P37172	ACVR1_MOUSE	Acvr1 Acvrlk2 Tgfb1	Mus musculus (Mouse)
P39038	CADH4_MOUSE	Cdh4	Mus musculus (Mouse)
P40223	CSF3R_MOUSE	Csf3r Csfgr	Mus musculus (Mouse)
P41272	CD27_MOUSE	Cd27 Tnfrsf7	Mus musculus (Mouse)
P42082	CD86_MOUSE	Cd86	Mus musculus (Mouse)
P42703	LIFR_MOUSE	Lifr	Mus musculus (Mouse)
P43406	ITAV_MOUSE	Itgav	Mus musculus (Mouse)
P43407	SDC2_MOUSE	Sdc2 Hspg1 Synd2	Mus musculus (Mouse)
P47741	TNR4_MOUSE	Tnfrsf4 Ox40 Txgp1	Mus musculus (Mouse)
P48030	TGFA_MOUSE	Tgfa	Mus musculus (Mouse)
P48356	LEPR_MOUSE	Lepr Db Obr	Mus musculus (Mouse)
P49446	PTPRE_MOUSE	Ptpre Ptpe	Mus musculus (Mouse)
P49772	FLT3L_MOUSE	Flt3lg Flt3l	Mus musculus (Mouse)
P50284	TNR3_MOUSE	Ltbr Tnfcr Tnfrsf3	Mus musculus (Mouse)
P52194	CLGN_MOUSE	Clgn Meg1	Mus musculus (Mouse)
P52785	GUC2E_MOUSE	Gucy2e Guc2e	Mus musculus (Mouse)
P52795	EFNB1_MOUSE	Efnb1 Epl2 Eplg2 Lerk2 Stra1	Mus musculus (Mouse)
P52800	EFNB2_MOUSE	Efnb2 Elf2 Epl5 Eplg5 Htkl Lerk5	Mus musculus (Mouse)
P53690	MMP14_MOUSE	Mmp14 Mtmmp	Mus musculus (Mouse)
P54754	EPHB3_MOUSE	Ephb3 Etk2 Mdk5 Sek4	Mus musculus (Mouse)
P54761	EPHB4_MOUSE	Ephb4 Htk Mdk2 Myk1	Mus musculus (Mouse)
P54763	EPHB2_MOUSE	Ephb2 Epth3 Nuk Sek3	Mus musculus (Mouse)
P55144	TYRO3_MOUSE	Tyro3 Dtk Rse Tif	Mus musculus (Mouse)
P55284	CADH5_MOUSE	Cdh5	Mus musculus (Mouse)
P55288	CAD11_MOUSE	Cdh11 Cad-11	Mus musculus (Mouse)
P55292	DSC2_MOUSE	Dsc2 Dsc3	Mus musculus (Mouse)
P55849	DSC1_MOUSE	Dsc1	Mus musculus (Mouse)
P55850	DSC3_MOUSE	Dsc3	Mus musculus (Mouse)
P56818	BACE1_MOUSE	Bace1 Bace	Mus musculus (Mouse)
P56974	NRG2_MOUSE	Nrg2	Mus musculus (Mouse)
P57716	NICA_MOUSE	Ncstn	Mus musculus (Mouse)
P58681	TLR7_MOUSE	Tlr7	Mus musculus (Mouse)
P58682	TLR8_MOUSE	Tlr8	Mus musculus (Mouse)
P59648	FXYD7_MOUSE	Fxyd7	Mus musculus (Mouse)
P59823	IRPL1_MOUSE	Il1rapl1	Mus musculus (Mouse)
P60882	MEGF8_MOUSE	Megf8 Egfl4	Mus musculus (Mouse)
P70180	ANPRC_MOUSE	Npr3	Mus musculus (Mouse)
P70193	LRIG1_MOUSE	Lrig1	Mus musculus (Mouse)
P70206	PLXA1_MOUSE	Plxna1 Kiaa4053	Mus musculus (Mouse)
P70207	PLXA2_MOUSE	Plxna2 Kiaa0463	Mus musculus (Mouse)
P70208	PLXA3_MOUSE	Plxna3	Mus musculus (Mouse)
P70211	DCC_MOUSE	Dcc	Mus musculus (Mouse)
P70232	NCHL1_MOUSE	Chl1 Call	Mus musculus (Mouse)
P70289	PTPRV_MOUSE	Ptprv Esp	Mus musculus (Mouse)
P70302	STIM1_MOUSE	Stim1 Sim	Mus musculus (Mouse)
P70387	HFE_MOUSE	Hfe Mr2	Mus musculus (Mouse)
P70407	CADH9_MOUSE	Cdh9	Mus musculus (Mouse)
P70412	CUZD1_MOUSE	Cuzd1 Itmap1	Mus musculus (Mouse)
P70424	ERBB2_MOUSE	Erbb2 Kiaa3023 Neu	Mus musculus (Mouse)
P80560	PTPR2_MOUSE	Ptprn2	Mus musculus (Mouse)
P82350	SGCA_MOUSE	Sgca	Mus musculus (Mouse)
P97291	CADH8_MOUSE	Cdh8	Mus musculus (Mouse)
P97300	NPTN_MOUSE	Nptn Sdfr1 Sdr1	Mus musculus (Mouse)
P97326	CADH6_MOUSE	Cdh6	Mus musculus (Mouse)
P97333	NRP1_MOUSE	Nrp1 Nrp	Mus musculus (Mouse)
P97378	I12R2_MOUSE	Il12rb2	Mus musculus (Mouse)
P97484	LIRB3_MOUSE	Pirb Lilrb3	Mus musculus (Mouse)
P97792	CXAR_MOUSE	Cxadr Car	Mus musculus (Mouse)
P97793	ALK_MOUSE	Alk	Mus musculus (Mouse)
P97797	SHPS1_MOUSE	Sirpa Bit Myd1 Ptpns1 Shps1 Sirp	Mus musculus (Mouse)
P97798	NEO1_MOUSE	Neo1 Ngn	Mus musculus (Mouse)
P97808	FXYD5_MOUSE	Fxyd5 Oit2	Mus musculus (Mouse)
P97952	SCN1B_MOUSE	Scn1b	Mus musculus (Mouse)
P98156	VLDLR_MOUSE	Vldlr	Mus musculus (Mouse)
Q00342	FLT3_MOUSE	Flt3 Flk-2 Flt-3	Mus musculus (Mouse)
Q00560	IL6RB_MOUSE	Il6st	Mus musculus (Mouse)
Q00609	CD80_MOUSE	Cd80 B7	Mus musculus (Mouse)
Q00651	ITA4_MOUSE	Itga4	Mus musculus (Mouse)
Q00690	LYAM2_MOUSE	Sele Elam-1	Mus musculus (Mouse)
Q00993	UFO_MOUSE	Axl Ark Ufo	Mus musculus (Mouse)
Q01102	LYAM3_MOUSE	Selp Grmp	Mus musculus (Mouse)
Q01114	IL9R_MOUSE	Il9r	Mus musculus (Mouse)
Q01279	EGFR_MOUSE	Egfr	Mus musculus (Mouse)
Q01705	NOTC1_MOUSE	Notch1 Motch	Mus musculus (Mouse)
Q01887	RYK_MOUSE	Ryk Mrk	Mus musculus (Mouse)
Q01965	LY9_MOUSE	Ly9 Ly-9	Mus musculus (Mouse)
Q02242	PDCD1_MOUSE	Pdcd1 Pd1	Mus musculus (Mouse)
Q02496	MUC1_MOUSE	Muc1 Muc-1	Mus musculus (Mouse)
Q02858	TIE2_MOUSE	Tek Hyk Tie-2 Tie2	Mus musculus (Mouse)
Q03137	EPHA4_MOUSE	Epha4 Sek Sek1	Mus musculus (Mouse)
Q03142	FGFR4_MOUSE	Fgfr4 Fgfr-4 Mpk-11	Mus musculus (Mouse)
Q03145	EPHA2_MOUSE	Epha2 Eck Myk2 Sek2	Mus musculus (Mouse)
Q03146	DDR1_MOUSE	Ddr1 Cak Eddr1 Mpk6	Mus musculus (Mouse)
Q03157	APLP1_MOUSE	Aplp1	Mus musculus (Mouse)
Q04592	PCSK5_MOUSE	Pcsk5	Mus musculus (Mouse)
Q05909	PTPRG_MOUSE	Ptprg	Mus musculus (Mouse)
Q05910	ADAM8_MOUSE	Adam8 Ms2	Mus musculus (Mouse)
Q05928	BTC_MOUSE	Btc Bcn	Mus musculus (Mouse)
Q05BQ1	TUTLA_MOUSE	Igsf9 Dasm1 Igsf9a Nrt1	Mus musculus (Mouse)
Q06186	HBEGF_MOUSE	Hbegf Dtr Hegfl	Mus musculus (Mouse)
Q06335	APLP2_MOUSE	Aplp2 APPL2	Mus musculus (Mouse)
Q06806	TIE1_MOUSE	Tie1 Tie Tie-1	Mus musculus (Mouse)
Q07113	MPRI_MOUSE	Igf2r	Mus musculus (Mouse)
Q07763	CD244_MOUSE	Cd244 2b4 Nmrk	Mus musculus (Mouse)
Q08351	TPOR_MOUSE	Mpl Tpor	Mus musculus (Mouse)
Q08481	PECA1_MOUSE	Pecam1 Pecam Pecam-1	Mus musculus (Mouse)
Q08501	PRLR_MOUSE	Prlr	Mus musculus (Mouse)
Q09163	DLK1_MOUSE	Dlk1 Dlk Pref1 Scp-1	Mus musculus (Mouse)
Q0VBD0	ITB8_MOUSE	Itgb8	Mus musculus (Mouse)
Q149L7	CRTAM_MOUSE	Crtam	Mus musculus (Mouse)
Q18PI6	SLAF5_MOUSE	Cd84 Slamf5	Mus musculus (Mouse)
Q1ERP8	CLM9_MOUSE	Cd300lg Clm9 D11Ertd736e	Mus musculus (Mouse)
Q2MV57	TECT2_MOUSE	Tctn2 Tect2	Mus musculus (Mouse)
Q2PZL6	FAT4_MOUSE	Fat4 Fatj	Mus musculus (Mouse)
Q2QI47	USH2A_MOUSE	Ush2A Gm676	Mus musculus (Mouse)
Q2TB54	FCAMR_MOUSE	Fcamr	Mus musculus (Mouse)
Q2WF71	LRFN1_MOUSE	Lrfn1 Salm2 Semo1	Mus musculus (Mouse)
Q3LRV9	TRML4_MOUSE	Treml4 TLT4 Treml3	Mus musculus (Mouse)
Q3TAS6	EMC10_MOUSE	Emc10 Hsm1 Inm02	Mus musculus (Mouse)
Q3TB92	MILR1_MOUSE	Milr1 Gm885 Mca32	Mus musculus (Mouse)
Q3TIW9	ENPP7_MOUSE	Enpp7	Mus musculus (Mouse)
Q3TR08	FNDC4_MOUSE	Fndc4 Fnmp1 Frcp1	Mus musculus (Mouse)
Q3TTE0	ADAM5_MOUSE	Adam5 Tmdc2	Mus musculus (Mouse)
Q3TTY0	PLB1_MOUSE	Plb1 Plb	Mus musculus (Mouse)
Q3TZW0	ECSCR_MOUSE	Ecscr Ecsm2	Mus musculus (Mouse)
Q3U497	CLM7_MOUSE	Cd300lb Irem3 Lmir5	Mus musculus (Mouse)
Q3UFB7	NTRK1_MOUSE	Ntrk1	Mus musculus (Mouse)
Q3UH53	SDK1_MOUSE	Sdk1	Mus musculus (Mouse)
Q3UH99	SHSA6_MOUSE	Shisa6 Gm879	Mus musculus (Mouse)
Q3UV74	ITB2L_MOUSE	Itgb2l	Mus musculus (Mouse)
Q3UWA6	GUC2C_MOUSE	Gucy2c Guc2c	Mus musculus (Mouse)
